pH_R,pH_G,pH_B,glucose_R,glucose_G,glucose_B,lactate_R,lactate_G,lactate_B,uric_R,uric_G,uric_B,toxicity
95,159,111,47,207,87,66,188,97,171,83,105,Medium
242,12,70,138,116,122,62,192,95,203,51,90,High
186,68,98,222,32,80,231,23,75,63,191,96,High
152,102,115,186,68,98,63,191,95,159,95,112,High
39,215,83,205,49,88,69,185,98,145,109,118,High
39,215,83,167,87,107,193,61,94,212,42,85,High
14,240,71,176,78,103,114,140,121,231,23,76,High
220,34,81,216,38,83,198,56,92,3,251,65,High
153,101,115,63,191,95,16,238,72,171,83,105,Medium
180,74,101,124,130,126,124,130,126,13,241,70,High
5,249,66,56,198,92,8,246,68,139,115,121,Medium
247,7,67,251,3,65,15,239,72,73,181,100,High
212,42,85,240,14,71,231,23,75,78,176,103,High
54,200,91,10,244,69,35,219,81,90,164,109,Medium
46,208,87,179,75,101,135,119,123,158,96,112,High
46,208,87,235,19,73,104,150,116,85,169,106,High
77,177,102,46,208,87,88,166,108,186,68,98,High
133,121,124,144,110,119,229,25,76,103,151,115,High
110,144,119,233,21,74,5,249,66,17,237,72,Medium
74,180,101,8,246,68,169,85,107,199,55,91,High
156,98,113,177,77,102,245,9,68,72,182,100,High
35,219,81,75,179,102,142,112,120,110,144,119,High
74,180,101,235,19,73,238,16,72,174,80,104,High
93,161,110,247,7,67,13,241,70,84,170,106,High
116,138,122,240,14,71,106,148,117,14,240,71,High
200,54,91,120,134,124,66,188,97,95,159,111,Medium
50,204,89,219,35,81,186,68,98,240,14,71,High
131,123,126,215,39,83,250,4,66,163,91,109,High
151,103,116,81,173,104,65,189,96,171,83,106,Medium
11,243,69,211,43,85,166,88,108,161,93,111,High
154,100,114,9,245,68,50,204,89,50,204,89,Low
43,211,85,152,102,115,144,110,119,106,148,117,High
16,238,72,58,196,93,118,136,123,191,63,95,High
241,13,70,30,224,79,247,7,67,25,229,76,High
246,8,68,19,235,73,155,99,114,70,184,99,High
206,48,88,177,77,102,89,165,108,70,184,99,High
77,177,102,86,168,107,29,225,78,110,144,119,Medium
24,230,76,184,70,99,38,216,83,249,5,66,High
174,80,104,16,238,72,57,197,92,17,237,72,Low
112,142,120,80,174,104,63,191,96,132,122,125,Medium
31,223,79,137,117,122,216,38,83,45,209,86,High
126,128,127,201,53,90,143,111,120,247,7,67,High
8,246,68,81,173,104,133,121,125,28,226,78,High
231,23,75,159,95,111,29,225,78,102,152,115,Medium
65,189,97,225,29,78,219,35,81,188,66,97,High
168,86,107,157,97,113,184,70,99,179,75,101,High
79,175,103,59,195,93,17,237,72,107,147,118,Medium
132,122,125,6,248,67,180,74,101,88,166,108,High
139,115,122,221,33,80,138,116,122,101,153,114,High
